name,date
Верхние Котлы,10.09.2016
Тверская,20.07.1979
Фонвизинская,16.09.2016
Локомотив,10.09.2016
Семёновская,18.01.1944
Хорошёво,10.09.2016
Выхино,31.12.1966
Новокосино,30.08.2012
Петровский парк,26.02.2018
Измайловская,21.10.1961
Парк Победы,31.01.2014
Беломорская,20.12.2018
Рижская,01.05.1958
Шелепиха,10.09.2016
Чкаловская,28.12.1995
Сокольники,15.05.1935
Киевская,05.04.1953
Лихоборы,10.09.2016
Новокузнецкая,20.11.1943
Бульвар Адмирала Ушакова,27.12.2003
Парк Победы,06.05.2003
Новохохловская,10.09.2016
Комсомольская,15.05.1935
Сретенский бульвар,29.12.2007
Печатники,28.12.1995
Смоленская,05.04.1953
Аминьевская,07.12.2021
Белокаменная,10.09.2016
Филёвский парк,13.10.1961
Тимирязевская,01.03.1991
Боровское шоссе,30.08.2018
Пролетарская,31.12.1966
Давыдково,07.12.2021
Проспект Мира,30.01.1952
Коньково,06.11.1987
Владыкино,01.03.1991
Комсомольская,30.01.1952
Ботанический сад,30.09.1978
Черкизовская,01.08.1990
Верхние Лихоборы,22.03.2018
Курская,13.03.1938
Ботанический сад,10.09.2016
Нагорная,08.11.1983
Октябрьское Поле,30.12.1972
Чеховская,31.12.1987
Владыкино,10.09.2016
Воробьёвы горы,12.01.1959
Хорошёвская,26.02.2018
Пятницкое шоссе,28.12.2012
Электрозаводская,15.05.1944
Аннино,12.12.2001
Смоленская,15.05.1935
Кантемировская,30.12.1984
Студенческая,07.11.1958
Ясенево,17.01.1990
Баррикадная,30.12.1972
Балтийская,10.09.2016
Автозаводская,10.09.2016
Зябликово,02.12.2011
Проспект Мира,01.05.1958
Белорусская,30.01.1952
Театральная,11.09.1938
Кутузовская,10.09.2016
Терехово,07.12.2021
Китай-город,03.01.1971
Китай-город,03.01.1971
Лужники,10.09.2016
Селигерская,22.03.2018
Улица Старокачаловская,27.12.2003
Крестьянская застава,28.12.1995
Площадь Революции,13.03.1938
Водный стадион,31.12.1964
Цветной бульвар,31.12.1988
Пионерская,13.10.1961
Деловой центр,31.01.2014
Динамо,11.09.1938
ЦСКА,26.02.2018
Бабушкинская,30.09.1978
Савёловская,30.12.2018
Зюзино,07.12.2021
Севастопольская,08.11.1983
Орехово,30.12.1984
Крылатское,31.12.1989
Маяковская,11.09.1938
Коломенская,11.08.1969
Преображенская площадь,31.12.1965
Молодёжная,05.07.1965
Бауманская,18.01.1944
Первомайская,21.10.1961
Прокшино,20.06.2019
Зябликово,02.12.2011
Павелецкая,01.01.1950
Бабушкинская,30.09.1978
Тимирязевская,01.03.1991
Шоссе Энтузиастов,30.12.1979
Бульвар Рокоссовского,10.09.2016
Борисово,02.12.2011
Каширская,11.08.1969
Лубянка,15.05.1935
Лефортово,27.03.2020
Электрозаводская,15.05.1944
Рассказовка,30.08.2018
Ховрино,31.12.2017
Лужники,10.09.2016
Красные Ворота,15.05.1935
Динамо,11.09.1938
Таганская,01.01.1950
Пролетарская,31.12.1966
Мичуринский проспект,07.12.2021
Улица Милашенкова,20.11.2004
Охотный Ряд,15.05.1935
Улица Академика Королёва,20.11.2004
Багратионовская,13.10.1961
Достоевская,19.06.2010
Домодедовская,07.09.1985
Стрешнево,10.09.2016
Андроновка,10.09.2016
Волоколамская,26.12.2009
Бульвар Рокоссовского,01.08.1990
Выставочный центр,20.11.2004
Мичуринский проспект,30.08.2018
Волжская,28.12.1995
Парк культуры,15.05.1935
Воробьёвы горы,12.01.1959
Черкизовская,01.08.1990
Медведково,30.09.1978
Октябрьская,13.10.1962
Ростокино,10.09.2016
Варшавская,11.08.1969
Университет,12.01.1959
Кутузовская,07.11.1958
Парк Победы,06.05.2003
Люблино,25.12.1996
Савёловская,31.12.1988
Пятницкое шоссе,28.12.2012
Электрозаводская,31.12.2020
